zip_code,year,month,avg
10002,2007,7,1467566.31034483
10002,2007,8,489878.941176471
10002,2007,9,1862183.6
10002,2007,10,1094477
10002,2007,11,828998.555555556
10002,2007,12,724277.2
10002,2008,1,794101.142857143
10002,2008,2,2784343.53846154
10002,2008,3,358500
10002,2008,4,4398571.42857143
10002,2008,5,710317.941176471
10002,2008,6,1786316.53333333
10002,2008,7,731442
10002,2008,8,2116425.25
10002,2008,9,1437930.55555556
10002,2008,10,656009.823529412
10002,2008,11,885868.6
10002,2008,12,713156.384615385
10002,2009,1,71548.303030303
10002,2009,2,118750
10002,2009,3,196000
10002,2009,4,214000
10002,2009,5,2216666.66666667
10002,2009,6,131760.928571429
10002,2009,7,794875.181818182
10002,2009,8,585908.916666667
10002,2009,9,456827
10002,2009,10,785804
10002,2009,11,407451.388888889
10002,2009,12,133796.25
10002,2010,1,403424.285714286
10002,2010,2,662771.571428571
10002,2010,3,2209000
10002,2010,4,357599.6
10002,2010,5,306810.181818182
10002,2010,6,828866.666666667
10002,2010,7,2253534.61538462
10002,2010,8,919584.5
10002,2010,9,782893.166666667
10002,2010,10,713620.166666667
10002,2010,11,802005.105263158
10002,2010,12,659054.133333333
10002,2011,1,841784.411764706
10002,2011,2,561091.75
10002,2011,3,572575.9375
10002,2011,4,1755636
10002,2011,5,922000
10002,2011,6,966155
10002,2011,7,933025.846153846
10002,2011,8,543435.176470588
10002,2011,9,1412699.57142857
10002,2011,10,660141.454545455
10002,2011,11,1334166.83333333
10002,2011,12,607007.727272727
10002,2012,1,805912.214285714
10002,2012,2,640984.125
10002,2012,3,384496.777777778
10002,2012,4,1163447.09090909
10002,2012,5,1130662.27777778
10002,2012,6,1340549.42105263
10002,2012,7,925241.833333333
10002,2012,8,2415645.66666667
10002,2012,9,535002.5
10002,2012,10,1625487.5
10002,2012,11,649404.705882353
10002,2012,12,3137207.76190476
10002,2013,1,680346.875
10002,2013,2,1078602.84615385
10002,2013,3,790149.230769231
10002,2013,4,1576493.1
10002,2013,5,846120.8
10002,2013,6,2469201.21052632
10002,2013,7,1612387.5
10002,2013,8,1152659.72413793
10002,2013,9,1885199.77777778
10002,2013,10,2681553.94444444
10002,2013,11,994057.357142857
10002,2013,12,848593
10002,2014,1,738357.71875
10002,2014,2,1103311.77777778
10002,2014,3,4661256.22222222
10002,2014,4,853445.909090909
10002,2014,5,2807487.2
10002,2014,6,2019551.2
10002,2014,7,3744600
10002,2014,8,1050575
10002,2014,9,1739576.75
10002,2014,10,989210.875
10003,2003,1,819791.428571429
10003,2003,2,325237.333333333
10003,2003,3,752313.0625
10003,2003,4,740444.307692308
10003,2003,5,705575
10003,2003,6,715173.4
10003,2003,7,396856.571428571
10003,2003,8,637750
10003,2003,9,631500
10003,2003,10,691500
10003,2003,11,326060.125
10003,2003,12,951597.805555556
10003,2004,1,1134421.87179487
10003,2004,2,1264313.9375
10003,2004,3,1208462.39130435
10003,2004,4,1453365
10003,2004,5,1315451.24
10003,2004,6,1411990.375
10003,2004,7,1165413
10003,2004,8,715555.611111111
10003,2004,9,1706705.88235294
10003,2004,10,2035900
10003,2004,11,1111800
10003,2004,12,1565354.5
10003,2005,1,1625091.56
10003,2005,2,1846012.07142857
10003,2005,3,1300692.73684211
10003,2005,4,2206822.8
10003,2005,5,1976158.92857143
10003,2005,6,1301756.03333333
10003,2005,7,893544.333333333
10003,2005,8,3621955.55555556
10003,2005,9,1775041.66666667
10003,2005,10,1322704.17647059
10003,2005,11,1355346.15384615
10003,2005,12,1135452.57142857
10003,2006,1,1919413.21428571
10003,2006,2,1628666.7
10003,2006,3,1082470.08695652
10003,2006,4,1485692.77272727
10003,2006,5,1151709.47619048
10003,2006,6,1374387.05263158
10003,2006,7,1196682.05882353
10003,2006,8,3307367.33333333
10003,2006,9,6722250
10003,2006,10,2390615.38461538
10003,2006,11,931126.137931034
10003,2006,12,563638
10003,2007,1,4712558.36666667
10003,2007,2,1787104.33333333
10003,2007,3,1959648.6
10003,2007,4,972572.071428571
10003,2007,5,2064221.96153846
10003,2007,6,1719181.21052632
10003,2007,7,251410.81981982
10003,2007,8,1397614.65217391
10003,2007,9,1858694.78787879
10003,2007,10,1751582.91304348
10003,2007,11,1878444.36956522
10003,2007,12,1190023.91666667
10003,2008,1,4147820.95
10003,2008,2,3250394.57894737
10003,2008,3,2510619.1
10003,2008,4,2233674.35294118
10003,2008,5,2249008.11764706
10003,2008,6,2024427.5
10003,2008,7,1689728.75
10003,2008,8,2246314.5
10003,2008,9,1189175.1875
10003,2008,10,721942.352941177
10003,2008,11,970715.055555556
10003,2008,12,1164129.23076923
10003,2009,1,735960.5
10003,2009,2,924255.307692308
10003,2009,3,1558201.5
10003,2009,4,793752.3125
10003,2009,5,1469166.66666667
10003,2009,6,947805
10003,2009,7,1877454.54545455
10003,2009,8,3131084.41666667
10003,2009,9,780806.384615385
10003,2009,10,1367606.63157895
10003,2009,11,1680355.38461538
10003,2009,12,3345425.5
10003,2010,1,12128354.5
10003,2010,2,1570720.83333333
10003,2010,3,1465000
10003,2010,4,1231875.83333333
10003,2010,5,1439757.80952381
10003,2010,6,1274016.83333333
10003,2010,7,3999761.90625
10003,2010,8,1770132.55555556
10003,2010,9,1649003.89473684
10003,2010,10,1947272.44444444
10003,2010,11,2386772.83333333
10003,2010,12,3048946.31818182
10003,2011,1,2391615.41666667
10003,2011,2,2599166.82352941
10003,2011,3,2622069.48148148
10003,2011,4,1411972
10003,2011,5,1499970.04918033
10003,2011,6,1938328.14285714
10003,2011,7,2303881.33333333
10003,2011,8,2521937.58823529
10003,2011,9,1936471.46153846
10003,2011,10,2132404.3
10003,2011,11,2306316.9047619
10003,2011,12,2423005.14814815
10003,2012,1,1358221.33333333
10003,2012,2,1446930.35294118
10003,2012,3,1794412.72
10003,2012,4,2490636.0625
10003,2012,5,2129017.10526316
10003,2012,6,2914875.5625
10003,2012,7,3287220.35
10003,2012,8,2231628.07142857
10003,2012,9,2904812.38461538
